,City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
0,lebu,3883457,-37.6167,-73.65,287.72,92,33,5.92,CL,01/07/2021
1,buriti bravo,3404722,-5.8372,-43.8336,294.14,92,0,1.39,BR,01/07/2021
2,mogadishu,53654,2.0371,45.3438,298.15,65,90,5.7,SO,01/07/2021
3,khatanga,2022572,71.9667,102.5,258.45,93,100,11.59,RU,01/07/2021
4,torbay,6167817,47.6666,-52.7314,280.15,100,90,4.6,CA,01/07/2021
5,bambous virieux,1106677,-20.3428,57.7575,301.48,69,75,5.7,MU,01/07/2021
6,arraial do cabo,3471451,-22.9661,-42.0278,296.97,90,60,5.43,BR,01/07/2021
7,katobu,1640972,-4.9408,122.5276,300.98,81,94,2.16,ID,01/07/2021
8,punta arenas,3874787,-53.15,-70.9167,281.15,70,0,5.1,CL,01/07/2021
9,thompson,6165406,55.7435,-97.8558,270.15,100,90,2.6,CA,01/07/2021
10,mataura,6201424,-46.1927,168.8643,285.93,90,100,5.36,NZ,01/07/2021
11,victoria,1819729,22.2855,114.1577,290.93,63,96,0.45,HK,01/07/2021
12,lagoa,3372964,39.05,-27.9833,286.17,74,48,13.24,PT,01/07/2021
13,cape town,3369157,-33.9258,18.4232,295.37,77,0,3.6,ZA,01/07/2021
14,kununurra,2068110,-15.7667,128.7333,309.15,47,40,5.1,AU,01/07/2021
15,les cayes,3728097,18.2,-73.75,294.74,78,0,2.16,HT,01/07/2021
16,rosarito,3988392,32.3333,-117.0333,286.15,93,90,2.97,MX,01/07/2021
17,dabhoi,1273766,22.1833,73.4333,297.15,44,29,2.6,IN,01/07/2021
18,krasnoarmeysk,542464,51.0239,45.6969,264.82,86,100,0.45,RU,01/07/2021
19,portland,5746545,45.5234,-122.6762,281.48,93,90,2.1,US,01/07/2021
20,katsuura,2112309,35.1333,140.3,284.26,32,46,8.94,JP,01/07/2021
21,bridgetown,3374036,13.1,-59.6167,297.15,94,75,5.7,BB,01/07/2021
22,bethel,5282297,41.3712,-73.414,271.48,78,80,5.44,US,01/07/2021
23,naze,1855540,28.3667,129.4833,285.15,81,75,8.2,JP,01/07/2021
24,morant bay,3489440,17.8815,-76.4093,297.15,69,20,3.6,JM,01/07/2021
25,guerrero negro,4021858,27.9769,-114.0611,288.18,79,18,3.14,MX,01/07/2021
26,rikitea,4030556,-23.1203,-134.9692,298.59,67,34,3.67,PF,01/07/2021
27,ciudad bolivar,3645532,8.1222,-63.5497,297.72,85,89,4.15,VE,01/07/2021
28,hobart,2163355,-42.8794,147.3294,294.82,59,20,9.3,AU,01/07/2021
29,namibe,3347019,-15.1961,12.1522,294.88,82,49,3.21,AO,01/07/2021
30,albany,5106841,42.6001,-73.9662,270.93,72,55,6.71,US,01/07/2021
31,vardo,777019,70.3705,31.1107,268.15,85,75,5.1,NO,01/07/2021
32,mattawa,5802636,46.7379,-119.9028,278.15,100,90,2.24,US,01/07/2021
33,east london,1006984,-33.0153,27.9116,297.15,64,0,4.6,ZA,01/07/2021
34,raudeberg,3146487,61.9875,5.1352,275.93,74,92,6.32,NO,01/07/2021
35,jamestown,5122534,42.097,-79.2353,272.04,86,90,3.6,US,01/07/2021
36,norman wells,6089245,65.282,-126.8329,248.15,69,75,0.77,CA,01/07/2021
37,hermanus,3366880,-34.4187,19.2345,295.37,73,50,3.13,ZA,01/07/2021
38,barrow,5880054,71.2906,-156.7887,250.15,76,90,2.1,US,01/07/2021
39,vaini,4032243,-21.2,-175.2,300.15,88,75,4.6,TO,01/07/2021
40,lukovetskiy,533418,64.2956,41.9211,265.15,85,75,2.0,RU,01/07/2021
41,atuona,4020109,-9.8,-139.0333,298.37,75,4,6.91,PF,01/07/2021
42,kalmunai,1242110,7.4167,81.8167,302.04,70,70,2.27,LK,01/07/2021
43,busselton,2075265,-33.65,115.3333,310.93,18,49,0.89,AU,01/07/2021
44,kapaa,5848280,22.0752,-159.319,297.15,83,75,5.7,US,01/07/2021
45,tiksi,2015306,71.6872,128.8694,246.01,86,100,16.0,RU,01/07/2021
46,huarmey,3939168,-10.0681,-78.1522,294.11,77,99,2.3,PE,01/07/2021
47,upernavik,3418910,72.7868,-56.1549,259.69,95,100,10.84,GL,01/07/2021
48,saint anthony,5044290,45.0205,-93.218,270.37,79,90,1.5,US,01/07/2021
49,salamanca,3111107,40.8333,-6.0,270.37,98,84,0.89,ES,01/07/2021
50,ilesha,2326168,7.1371,5.2583,296.89,92,81,1.34,NG,01/07/2021
