City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
yellowknife,6185377,62.456,-114.3525,260.15,85,1,4.12,CA,10/01/2021
busselton,2075265,-33.65,115.3333,295.93,61,97,4.02,AU,10/01/2021
lompoc,5367788,34.6391,-120.4579,285.93,71,1,4.12,US,10/01/2021
hobart,2163355,-42.8794,147.3294,297.59,60,75,7.72,AU,10/01/2021
ushuaia,3833367,-54.8,-68.3,280.15,87,20,7.2,AR,10/01/2021
carandai,3467026,-20.9536,-43.8064,291.49,99,100,1.66,BR,10/01/2021
longyearbyen,2729907,78.2186,15.6401,271.15,74,20,7.2,SJ,10/01/2021
taoudenni,2450173,22.6783,-3.9836,290.68,39,0,5.98,ML,10/01/2021
mount isa,2065594,-20.7333,139.5,308.15,26,40,5.66,AU,10/01/2021
east london,1006984,-33.0153,27.9116,294.15,83,0,4.12,ZA,10/01/2021
upernavik,3418910,72.7868,-56.1549,261.24,84,94,4.78,GL,10/01/2021
arraial do cabo,3471451,-22.9661,-42.0278,297.87,92,4,6.77,BR,10/01/2021
shymkent,1518980,42.3,69.6,268.15,58,0,3.0,KZ,10/01/2021
takoradi,2294915,4.8845,-1.7554,298.75,89,14,3.51,GH,10/01/2021
souillac,933995,-20.5167,57.5167,300.15,83,75,4.12,MU,10/01/2021
victoria,1819729,22.2855,114.1577,287.04,36,96,0.45,HK,10/01/2021
tilichiki,2120591,60.4667,166.1,245.04,86,0,5.58,RU,10/01/2021
progreso,3521108,21.2833,-89.6667,291.48,82,1,3.63,MX,10/01/2021
new norfolk,2155415,-42.7826,147.0587,300.37,26,65,1.34,AU,10/01/2021
isangel,2136825,-19.55,169.2667,304.15,74,75,2.57,VU,10/01/2021
bubaque,2374583,11.2833,-15.8333,299.54,56,73,7.91,GW,10/01/2021
butaritari,2110227,3.0707,172.7902,300.21,82,100,8.97,KI,10/01/2021
rikitea,4030556,-23.1203,-134.9692,299.18,76,100,6.65,PF,10/01/2021
mitu,3674676,1.1983,-70.1733,294.27,98,93,0.51,CO,10/01/2021
klaksvik,2618795,62.2266,-6.589,272.15,100,75,1.54,FO,10/01/2021
gizo,2108857,-8.103,156.8419,303.55,68,100,2.74,SB,10/01/2021
airai,1651810,-8.9266,125.4092,296.07,91,100,0.68,TL,10/01/2021
vestmannaeyjar,3412093,63.4427,-20.2734,270.69,89,32,3.1,IS,10/01/2021
te anau,2181625,-45.4167,167.7167,287.87,64,77,3.56,NZ,10/01/2021
camacha,2270385,33.0833,-16.3333,287.15,72,40,9.77,PT,10/01/2021
kavaratti,1267390,10.5669,72.642,301.43,75,55,4.89,IN,10/01/2021
tuktoyaktuk,6170031,69.4541,-133.0374,253.15,77,40,6.17,CA,10/01/2021
lakes entrance,2160735,-37.8811,147.981,301.48,62,0,3.58,AU,10/01/2021
castro,3466704,-24.7911,-50.0119,291.59,97,97,3.16,BR,10/01/2021
dori,2361082,14.0354,-0.0345,296.56,20,0,3.98,BF,10/01/2021
harper,2276492,4.375,-7.7169,298.77,88,3,3.65,LR,10/01/2021
ribeira grande,3372707,38.5167,-28.7,288.6,73,100,7.27,PT,10/01/2021
norman wells,6089245,65.282,-126.8329,251.15,84,20,1.54,CA,10/01/2021
kloulklubed,7671223,7.0419,134.2556,302.15,74,75,4.12,PW,10/01/2021
beloha,1067565,-25.1667,45.05,300.35,63,0,3.44,MG,10/01/2021
jamestown,5122534,42.097,-79.2353,271.48,93,1,2.57,US,10/01/2021
barrow,5880054,71.2906,-156.7887,258.15,78,90,1.79,US,10/01/2021
